6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.161616 stddev:0.837349 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.8818590000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.969697 stddev:0.809721 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.242424 stddev:0.943783 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:0.886705 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.020202 stddev:0.8987059999999999 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.939394 stddev:0.874073 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.091837 stddev:1.079368 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.858586 stddev:0.8166220000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.929293 stddev:0.923897 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.868687 stddev:0.8244549999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.131313 stddev:0.9061680000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.0101009999999997 stddev:0.79766 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.070707 stddev:0.977035 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.888889 stddev:0.709088 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0101009999999997 stddev:0.958692 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.747475 stddev:0.68672 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.8932399999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.969697 stddev:0.846318 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.9898990000000003 stddev:0.75872 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.10101 stddev:0.9373819999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.818182 stddev:0.687017 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.090909 stddev:0.7925270000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.858586 stddev:0.752237 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.121212 stddev:0.87931 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.8484849999999997 stddev:0.8085859999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.212121 stddev:0.844145 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.141414 stddev:0.8990469999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.040404 stddev:1.004225 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.020202 stddev:0.8162470000000001 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.836983 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.070707 stddev:0.923897 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.9898990000000003 stddev:0.8225969999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.8636219999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.131313 stddev:0.8121109999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.7611359999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.040404 stddev:0.790335 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:3.030303 stddev:0.809721 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.181818 stddev:0.8803540000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.838384 stddev:0.825198 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.8282830000000003 stddev:0.7112430000000001 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.131313 stddev:1.0410409999999999 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.878788 stddev:0.844145 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.10101 stddev:0.999949 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.777778 stddev:0.746108 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.919192 stddev:0.799959 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.0101009999999997 stddev:0.8818590000000001 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.969697 stddev:0.758182 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.060606 stddev:0.972534 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.929293 stddev:0.7817689999999999 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.979798 stddev:0.909876 med:3.0
7:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.757576 stddev:0.779678 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:7 avg:3.111111 stddev:1.013932 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:2.939394 stddev:0.763011 med:3.0
6:0:1 |busy_cores_prev_interval min:2 max:5 avg:2.808081 stddev:0.747748 med:3.0
5:0:1 |busy_cores_prev_interval min:2 max:6 avg:3.20202 stddev:0.953249 med:3.0
